"","UTC","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000","site","yr","mth","Latitude","Longitude","Season","seasonYr","windU","windV","precRate","matchLong","matchLat","matchTime","windMag","Day"
"1477",2019-01-16 05:00:00,82.573219,84.374117,83.94229,84.954162,82.237827,81.543146,80.857152,81.587812,82.906835,84.740037,85.88786,86.501708,87.150645,87.533921,87.571972,87.238539,86.572871,86.014822,86.374883,86.360201,86.826236,87.808907,87.680009,85.848101,86.119136,85.546186,84.956099,84.565718,83.833088,84.041849,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1478",2019-01-16 06:00:00,84.913616,87.415438,87.412247,88.381539,85.758766,84.580965,82.441439,82.41498,83.26179,84.680316,85.458819,85.896437,86.620696,87.195488,87.345844,87.26618,86.689389,85.722153,85.901417,85.977241,86.443676,87.385001,87.246595,85.486513,85.795595,85.23197,84.650569,84.277087,83.573721,83.837852,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1479",2019-01-16 07:00:00,85.37847,88.621931,89.063053,89.181657,85.571271,84.564655,82.849054,83.099562,83.918387,85.569151,86.411281,86.809985,87.512475,88.384318,88.78592,88.751219,88.332487,87.393185,87.673907,87.847259,88.305845,89.140182,88.905797,87.037166,87.264652,86.647807,86.02159,85.581138,84.7654,84.154909,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1480",2019-01-16 08:00:00,80.694232,82.068544,82.877375,83.425267,82.316759,81.881596,81.152412,81.604066,82.836933,84.592117,85.253865,85.681037,86.527475,87.390503,87.893853,87.984656,87.708982,86.942365,87.095886,87.140901,87.532454,88.407508,88.263412,86.45454,86.691705,86.112779,85.507609,85.114226,84.390297,84.30948,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-0.810842275619507,7.01356220245361,6.70000008540228e-05,238,36.75,2019-01-16 07:30:00,7.06027761236184,2019-01-16
"1481",2019-01-16 09:00:00,77.900356,77.663241,78.892627,80.299188,80.444095,80.503094,80.262976,80.772896,81.888433,84.049666,84.473439,84.750908,85.652126,86.598782,87.067606,87.095177,86.685448,85.955154,86.214545,86.380195,86.813231,87.601255,87.343686,85.541665,85.863188,85.289249,84.683049,84.319178,83.567045,82.961695,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-0.810842275619507,7.01356220245361,6.70000008540228e-05,238,36.75,2019-01-16 07:30:00,7.06027761236184,2019-01-16
"1482",2019-01-16 10:00:00,77.010516,76.997078,78.267298,79.112327,78.462798,78.410291,77.733899,78.476962,80.173057,82.564717,82.688758,82.767379,83.368998,84.393009,84.561615,84.352902,83.995299,83.344189,83.492681,83.299874,83.669147,84.461842,84.244473,82.595998,82.914973,82.420201,81.894753,81.574587,80.94831,80.607554,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-0.810842275619507,7.01356220245361,6.70000008540228e-05,238,36.75,2019-01-16 07:30:00,7.06027761236184,2019-01-16
"1483",2019-01-16 11:00:00,76.917988,77.713171,78.64167,79.979948,79.757679,78.452843,77.540414,78.083605,79.678751,82.295875,81.886,82.015663,82.555416,83.358187,83.678484,83.550076,83.146162,82.505702,82.385735,82.144139,82.334641,83.07653,82.947436,81.332344,81.554903,81.089265,80.533726,80.236451,79.658014,79.834132,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1484",2019-01-16 12:00:00,77.615741,78.11651,78.999355,80.407775,80.212868,79.87269,78.785253,78.711938,80.000536,82.586829,82.085315,82.330779,82.912243,83.610053,84.011196,83.895447,83.525128,82.690735,82.276115,82.000497,82.30065,83.12444,83.049912,81.425897,81.506655,80.977305,80.435165,80.128243,79.641512,81.759167,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1485",2019-01-16 13:00:00,77.631737,79.154103,81.234866,81.214403,80.826311,80.871337,79.126658,78.794933,79.899068,82.402403,80.944913,80.763632,81.150688,81.795773,82.389128,82.131654,81.468163,80.649602,80.436508,80.607983,80.609808,80.285405,79.737966,78.259374,78.168159,77.629205,77.122178,76.872646,76.440644,76.405079,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1486",2019-01-16 14:00:00,77.124997,78.212717,80.205139,81.508745,81.668927,81.192854,78.850051,78.498431,79.56657,82.048916,81.06145,81.209794,82.004376,83.219251,84.27548,84.437997,84.181294,83.558825,83.293656,82.962564,83.021954,83.416186,82.936385,81.071523,80.981398,80.396275,79.78236,79.460053,78.885164,78.529858,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-1.17795658111572,5.03915405273438,6.00000021222513e-06,238,36.75,2019-01-16 13:30:00,5.17500292504102,2019-01-16
"1487",2019-01-16 15:00:00,77.081389,77.501999,79.012073,80.410071,80.880282,80.437864,78.567217,78.456926,78.867599,79.779934,80.347297,80.912611,81.667433,82.428844,82.890828,83.004296,82.791701,82.094755,81.659283,81.25801,81.2061,81.915376,81.909247,80.477845,80.41025,79.83586,79.297911,78.966581,78.39812,78.044731,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-1.17795658111572,5.03915405273438,6.00000021222513e-06,238,36.75,2019-01-16 13:30:00,5.17500292504102,2019-01-16
