"","UTC","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000","site","yr","mth","Latitude","Longitude","windU","windV","precRate","matchLong","matchLat","matchTime","windMag","Day"
"7242",2019-09-27 09:00:00,77.497925,77.777125,78.548201,79.72718,80.443647,81.680643,82.178155,79.622112,80.565442,83.378533,80.443105,81.271415,84.052328,85.47788,82.459668,81.554322,80.982684,83.311498,85.111687,88.451841,88.838112,91.575011,93.077709,93.344347,92.133983,91.639417,90.261886,88.473155,86.214786,81.928314,"mb02",2019,9,36.648,-121.908,2.94265627861023,3.70306873321533,0,238,36.75,2019-09-27 07:30:00,4.72989894363095,2019-09-27
"7243",2019-09-27 10:00:00,75.93668,76.512224,77.476867,79.319213,80.183905,81.676643,82.078453,79.449479,80.819235,83.669042,80.711318,81.303799,84.241801,85.972434,82.983253,81.9434,81.257505,83.256336,84.926212,88.203823,88.588006,91.715498,93.20588,93.358718,92.16775,91.583677,90.344427,88.498923,86.278944,81.64423,"mb02",2019,9,36.648,-121.908,2.94265627861023,3.70306873321533,0,238,36.75,2019-09-27 07:30:00,4.72989894363095,2019-09-27
"7244",2019-09-27 11:00:00,75.988693,76.566408,77.658604,79.540634,80.495673,81.83717,82.150297,79.90145,81.676106,84.502933,81.483323,81.781066,85.111431,87.2491,84.259432,83.247842,81.459135,83.390149,85.178716,88.077269,88.574491,91.84932,93.47567,93.539342,92.290565,91.439573,90.423643,88.45081,86.356457,81.566773,"mb02",2019,9,36.648,-121.908,2.30704092979431,2.88673090934753,0,238,36.75,2019-09-27 12:00:00,3.69535562493363,2019-09-27
"7245",2019-09-27 12:00:00,75.835267,83.377682,78.253339,80.218619,82.26705,83.166959,82.693507,81.688693,83.041962,85.829746,83.6507,84.085083,87.089752,88.879516,86.102017,85.03643,83.203979,83.935869,85.841358,88.849521,88.905013,91.920756,93.66265,93.444588,92.395979,91.511651,90.495967,88.584588,86.552581,81.793418,"mb02",2019,9,36.648,-121.908,2.30704092979431,2.88673090934753,0,238,36.75,2019-09-27 12:00:00,3.69535562493363,2019-09-27
"7246",2019-09-27 13:00:00,77.151448,79.412429,79.352968,81.72969,84.38785,86.105441,84.660384,84.863055,88.407306,88.077691,87.995013,89.640306,91.977334,92.676498,89.624462,88.986774,87.884322,88.18507,88.310226,89.824789,90.090317,92.867095,94.629745,94.617529,93.644726,92.40577,91.390172,89.517968,87.572575,82.828484,"mb02",2019,9,36.648,-121.908,2.30704092979431,2.88673090934753,0,238,36.75,2019-09-27 12:00:00,3.69535562493363,2019-09-27
"7247",2019-09-27 14:00:00,76.838305,78.460404,79.100712,80.561023,83.548236,83.792334,82.823858,85.326902,86.040936,87.389865,88.046199,87.45966,89.146441,90.327175,88.620666,87.937117,87.277156,87.466686,88.436578,90.1715,90.304863,93.62668,94.864048,94.769201,94.002157,92.897728,91.674764,89.760321,87.614557,82.817265,"mb02",2019,9,36.648,-121.908,1.18287110328674,3.00804209709167,9.99999974737875e-06,238,36.75,2019-09-27 13:30:00,3.23225947362932,2019-09-27
"7248",2019-09-27 15:00:00,76.89866,81.043358,81.834543,83.807103,83.394657,83.427927,85.482056,88.257063,90.1025,91.051078,89.858395,89.009919,89.397196,89.780146,87.996948,87.415019,88.107122,87.862325,88.831083,90.040632,90.229648,93.716899,94.595865,94.664932,93.686061,92.219521,91.048894,89.324762,87.169638,82.290729,"mb02",2019,9,36.648,-121.908,1.18287110328674,3.00804209709167,9.99999974737875e-06,238,36.75,2019-09-27 13:30:00,3.23225947362932,2019-09-27
"7249",2019-09-27 16:00:00,78.352803,81.71274,85.00501,88.820498,90.367808,94.807309,93.811178,95.028204,94.829476,96.199048,93.864527,93.403818,92.272165,91.631957,91.267123,91.82856,91.504823,92.286716,92.025208,92.39411,92.464695,94.510764,95.18544,95.008827,93.829434,92.699142,91.427954,89.676202,87.520434,82.687565,"mb02",2019,9,36.648,-121.908,1.18287110328674,3.00804209709167,9.99999974737875e-06,238,36.75,2019-09-27 13:30:00,3.23225947362932,2019-09-27
"7250",2019-09-27 17:00:00,78.788312,80.745916,82.644066,85.743584,86.248593,90.162004,92.11478,92.250469,92.981628,95.717572,92.79087,91.743151,91.687601,90.714333,89.517679,89.112244,88.980613,90.505065,90.766247,91.821629,92.200313,94.463562,94.812454,95.001777,94.044116,92.924334,91.700397,90.023888,88.005109,83.464791,"mb02",2019,9,36.648,-121.908,2.11428713798523,1.18483889102936,0,238,36.75,2019-09-27 18:00:00,2.42364463144774,2019-09-27
"7251",2019-09-27 18:00:00,80.361859,82.07466,84.260853,87.152052,85.830299,90.292218,91.253538,95.037376,94.975,92.879792,92.764386,92.136068,92.838465,91.772156,90.469402,90.04661,90.264709,90.519659,91.000212,91.365509,91.359313,94.239833,94.70885,94.836733,93.47153,92.338043,90.987822,89.269267,87.135082,82.449514,"mb02",2019,9,36.648,-121.908,2.11428713798523,1.18483889102936,0,238,36.75,2019-09-27 18:00:00,2.42364463144774,2019-09-27
"7252",2019-09-27 19:00:00,82.997174,85.381525,88.317893,89.571934,92.023732,96.975632,96.279553,98.021967,100.696284,100.192276,99.478781,99.363559,97.782001,96.457673,95.84621,96.144348,95.788212,96.104011,96.248609,96.080984,96.37266,97.960975,98.703899,98.411078,97.702599,96.617612,95.422646,94.033263,92.094632,87.70607,"mb02",2019,9,36.648,-121.908,2.11428713798523,1.18483889102936,0,238,36.75,2019-09-27 18:00:00,2.42364463144774,2019-09-27
"7253",2019-09-27 20:00:00,80.416752,80.944409,81.437945,82.85553,84.376189,86.58405,88.757388,88.976454,90.650542,92.322417,88.828951,88.529268,89.509279,90.001265,89.382472,88.662021,87.38669,87.639327,88.911154,89.949245,90.609514,93.822369,93.984127,94.110988,93.084966,91.982528,90.742499,88.970108,86.854822,82.14107,"mb02",2019,9,36.648,-121.908,4.22894287109375,-0.394343256950378,9.99999974737875e-06,238,36.75,2019-09-27 19:30:00,4.24728906613111,2019-09-27
"7254",2019-09-27 21:00:00,78.803972,81.294375,83.403769,87.459846,89.234134,93.468034,93.659387,94.943045,95.096431,93.817714,92.383506,92.994371,92.900307,92.051268,91.208949,91.741889,91.433438,91.40615,91.770016,92.02325,92.16207,94.698438,94.448236,94.885402,93.442758,92.243255,90.821636,88.932622,86.713718,81.975623,"mb02",2019,9,36.648,-121.908,4.22894287109375,-0.394343256950378,9.99999974737875e-06,238,36.75,2019-09-27 19:30:00,4.24728906613111,2019-09-27
"7255",2019-09-27 22:00:00,80.72622,82.555901,83.192616,86.620553,92.144364,91.604435,93.728134,94.934159,95.542157,97.719228,96.345525,95.847768,94.52813,93.75764,93.167942,93.017975,92.488769,92.822956,92.83623,92.627525,92.472583,94.653401,94.791581,94.735455,93.383472,92.204159,90.797264,88.845653,86.629059,81.861941,"mb02",2019,9,36.648,-121.908,4.22894287109375,-0.394343256950378,9.99999974737875e-06,238,36.75,2019-09-27 19:30:00,4.24728906613111,2019-09-27
"7256",2019-09-27 23:00:00,80.372245,81.174907,84.332033,89.797459,95.066916,94.858994,94.302391,94.448956,93.442552,92.636117,92.671096,93.894626,93.24994,92.454968,91.077404,90.740151,90.773283,90.795084,91.242218,91.569041,91.111644,93.854074,94.492418,94.343182,92.877516,91.877751,90.499197,88.604939,86.402597,81.933642,"mb02",2019,9,36.648,-121.908,7.6812744140625,-6.94353771209717,0,238,36.75,2019-09-28,10.3544527901501,2019-09-27
