"","UTC","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000","site","yr","mth","Latitude","Longitude","Season","seasonYr","windU","windV","precRate","matchLong","matchLat","matchTime","windMag","Day"
"7099",2019-09-26 20:00:00,80.304555,82.117775,84.422608,88.014497,86.689168,85.499914,85.125456,85.904327,86.49573,87.264269,86.912431,84.945774,85.744522,85.730435,84.79547,84.244869,84.825858,82.949448,82.833333,82.379031,81.437251,81.580486,81.463557,80.479649,79.73998,79.57583,78.997034,78.490338,77.211861,74.730998,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",4.52321767807007,6.76049327850342,0,238,36.75,2019-09-26 19:30:00,8.13411135477598,2019-09-26
"7100",2019-09-26 21:00:00,81.538959,79.379172,86.028601,90.594601,93.085742,91.404446,92.138109,91.574629,90.70681,90.502393,89.443213,88.725586,88.434945,87.192588,86.544043,85.71001,85.359824,84.968592,84.757254,84.141965,83.105127,82.942284,82.486684,81.791338,81.075948,80.66712,79.913025,79.376327,78.077987,75.198918,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",4.52321767807007,6.76049327850342,0,238,36.75,2019-09-26 19:30:00,8.13411135477598,2019-09-26
"7101",2019-09-26 22:00:00,78.270307,77.323074,78.29061,80.499678,80.949727,81.727718,81.741514,82.244524,82.92556,85.134853,84.365907,84.717584,85.652919,85.183339,85.190726,84.9506,84.734311,84.149201,83.966509,83.757456,82.977664,82.935531,82.593631,81.995141,81.320343,80.982326,80.335492,79.786992,78.480125,75.547156,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",4.52321767807007,6.76049327850342,0,238,36.75,2019-09-26 19:30:00,8.13411135477598,2019-09-26
"7102",2019-09-26 23:00:00,79.014899,77.665312,78.099065,80.5875,81.140466,80.975234,80.465419,81.169561,83.222142,88.857374,86.279074,87.085749,89.201632,88.04007,88.493645,87.774984,86.574004,85.860331,85.721545,85.537755,84.640427,84.596372,84.270516,83.642976,82.993536,82.675854,81.992982,81.427674,80.038233,76.894096,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",8.24594211578369,6.07750511169434,0,238,36.75,2019-09-27,10.2436140965738,2019-09-26
"7103",2019-09-27,87.645144,93.216965,94.859299,97.314222,96.98784,95.009398,91.500251,88.146961,87.242396,87.083228,86.586015,86.671473,87.092944,87.399136,87.041068,87.004774,86.83404,86.421849,86.251362,86.059641,85.288468,85.255761,84.908047,84.270188,83.57365,83.19689,82.482989,81.903785,80.491122,77.325578,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",8.24594211578369,6.07750511169434,0,238,36.75,2019-09-27,10.2436140965738,2019-09-27
"7104",2019-09-27 01:00:00,83.092864,82.430967,84.289106,89.04737,88.584681,84.95048,82.303412,81.898062,82.843276,83.394048,83.073296,84.020881,85.839224,86.409047,86.082953,86.118232,85.853232,85.58016,85.496735,85.448461,84.739398,84.733139,84.478463,83.868125,83.255833,82.988644,82.316592,81.785842,80.402141,77.273529,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",8.24594211578369,6.07750511169434,0,238,36.75,2019-09-27,10.2436140965738,2019-09-27
"7105",2019-09-27 02:00:00,82.720719,83.405432,87.729967,91.271033,93.050117,88.507435,84.577673,83.2519,89.33223,90.897138,86.449807,86.30741,87.559636,87.480814,86.156848,85.236624,84.386033,83.910902,83.841048,83.872214,83.194561,83.215051,82.93178,82.379846,81.765337,81.523743,80.931307,80.391815,79.092687,76.130016,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",4.60653829574585,8.44785404205322,0,238,36.75,2019-09-27 01:30:00,9.62218441862387,2019-09-27
"7106",2019-09-27 03:00:00,81.553017,83.978425,88.53213,84.628715,86.099877,87.400472,87.227171,87.829836,87.569207,88.461654,86.752463,87.384105,87.015621,85.048721,83.553593,82.290259,82.186206,82.444936,82.784036,82.824687,82.136167,82.138618,81.798878,81.258737,80.620386,80.350165,79.772386,79.267733,78.033498,75.211015,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",4.60653829574585,8.44785404205322,0,238,36.75,2019-09-27 01:30:00,9.62218441862387,2019-09-27
"7107",2019-09-27 04:00:00,79.125738,83.203906,88.033358,83.576669,85.61122,88.678557,90.756362,88.163909,86.737513,87.124636,86.296772,85.045633,84.524735,82.770721,81.095603,79.934443,79.339543,79.437955,79.781899,79.971026,79.262235,79.294316,78.996058,78.569482,78.021711,77.828175,77.35725,76.988949,75.957653,73.509012,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",4.60653829574585,8.44785404205322,0,238,36.75,2019-09-27 01:30:00,9.62218441862387,2019-09-27
"7108",2019-09-27 05:00:00,78.708509,79.669076,82.909657,81.724678,83.258623,86.89602,85.983363,83.100695,81.58179,81.905581,79.646803,80.32345,81.152663,80.453843,79.941949,79.722883,79.69205,79.593853,79.938691,80.066182,79.455281,79.594719,79.419228,78.996866,78.492279,78.331825,77.838951,77.485987,76.436498,73.920634,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",4.29045915603638,5.41438007354736,0,238,36.75,2019-09-27 06:00:00,6.90822345834608,2019-09-27
