"","Path","FileCount","SiteName","DeploymentName","Instrument","Start_Date","End_Date","Lat","Lon","Site","Days"
"29","gs://noaa-passive-bioacoustic/nrs/audio/10/nrs_10_2017-2018","3","10","2017-2018","AUH",2017-06-15,2018-09-02,"-14.2686","-170.7196","nrs_10",444
"30","gs://noaa-passive-bioacoustic/nrs/audio/10/nrs_10_2019-2020","4","10","2019-2020","AUH",2018-08-31,2020-04-15,"-14.2686","-170.7196","nrs_10",593
"31","gs://noaa-passive-bioacoustic/nrs/audio/11/nrs_11_2015-2017","1","11","2015-2017","AUH",2015-10-18,2017-10-09,"37.88100","-126.43500","nrs_11",722
"32","gs://noaa-passive-bioacoustic/nrs/audio/11/nrs_11_2019-2021","2","11","2019-2021","AUH",2019-10-24,2021-10-04,"37.88","-123.45","nrs_11",711
"33","gs://noaa-passive-bioacoustic/nrs/audio/12/nrs_12_2016-2017","1","12","2016-2017","AUH",2016-11-16,2017-05-03,"17.79","-64.65","nrs_12",168
"34","gs://noaa-passive-bioacoustic/nrs/audio/12/nrs_12_2017-2018","2","12","2017-2018","AUH",2017-05-06,2018-05-23,"17.79","-64.65","nrs_12",382
"35","gs://noaa-passive-bioacoustic/nrs/audio/12/nrs_12_2018-2019","3","12","2018-2019","AUH",2018-05-22,2019-05-24,"17.79","-64.65","nrs_12",367
"36","gs://noaa-passive-bioacoustic/nrs/audio/12/nrs_12_2019-2020","4","12","2019-2020","AUH",2019-05-15,2020-12-26,"17.79","-64.65","nrs_12",591
"37","gs://noaa-passive-bioacoustic/nrs/audio/12/nrs_12_2020-2022","5","12","2020-2022","AUH",2020-12-01,2022-05-03,"17.79","-64.65","nrs_12",518
"38","gs://noaa-passive-bioacoustic/nrs/audio/03/nrs_03_2014-2015/","NA","03","2014-2015","AUH",2014-10-01,2015-07-24,"47.7651","-125.5222","nrs_03",296
"39","gs://noaa-passive-bioacoustic/nrs/audio/06/nrs_06_2014-2016/","NA","06","2014-2016","AUH",2014-08-01,2016-03-15,"28.0062","-86.9937","nrs_06",592
"40","gs://noaa-passive-bioacoustic/nrs/audio/09/nrs_09_2014-2015/","NA","09","2014-2015","AUH",2014-10-21,2015-08-12,"42.4037","-70.1294","nrs_09",295
"41","gs://noaa-passive-bioacoustic/nrs/audio/01/nrs_01_2014-2015/","NA","01","2014-2015","AUH",2014-10-14,2015-10-26,"72.49","-156.6018","nrs_01",377
"42","gs://noaa-passive-bioacoustic/nrs/audio/08/nrs_08_2014-2015/","NA","08","2014-2015","AUH",2014-05-23,2015-02-19,"40.13","-66.2499","nrs_08",272
